그룹	행	2Depth	3Depth	Checklist	현재H	현재I	후보1_yaml	후보1_케이스	점수	후보2_yaml	후보2_케이스
International Topup	302	Openbanking Charging (KFTC)	Biometric	생체인식 틀릴시 충전 불가 확인  - OTP 입력페이지 발생 확인 및 정상 입력 시 송금 확인 			11_IntlTopup	[02] 올바른 번호 입력 동작 확인 (0776348242 반영)	0.13	11_IntlTopup	[04] 잘못된 번호 입력 → 인라인 에러 + 계속 비활성
Bill payment	303	Openbanking Charging (KFTC)	Biometric	국가리스트 및 선택동작 확인 			12_BillPayment	[02] Country 검색 동작 확인 / [01] 국가 리스트 및 선택 (Nepal)	0.24	12_BillPayment	[01] Country 리스트 및 선택 (Nepal)
Bill payment	304	Openbanking Charging (KFTC)	Biometric	국가리스트 검색동작 확인 			12_BillPayment	[02] Country 검색 동작 확인 / [01] 국가 리스트 및 선택 (Nepal)	0.19	12_BillPayment	[04] Biller 검색창 노출 확인 + 선택 (모바일 충전)
Bill payment	305	Openbanking Charging (KFTC)	Biometric	Biller Category 리스트 및 항목 선택 동작 확인 			12_BillPayment	[03] Biller Category(청구 구분) 리스트 및 선택 (모바일/전화)	0.53	12_BillPayment	[01] Country 리스트 및 선택 (Nepal)
Bill payment	306	Openbanking Charging (KFTC)	Biometric	Biller 상세항목 검색동작 확인 			12_BillPayment	[04] Biller 검색창 노출 확인 + 선택 (모바일 충전)	0.38	12_BillPayment	[05] Biller별 입력 필드 노출 확인 (모바일 충전 → "휴대폰 번호")
Bill payment	307	Openbanking Charging (KFTC)	Biometric	Biller 별 필드 항목 정상적으로 노출되는지 확인 			12_BillPayment	[05] Biller별 입력 필드 노출 확인 (모바일 충전 → "휴대폰 번호")	0.35	12_BillPayment	[04] Biller 검색창 노출 확인 + 선택 (모바일 충전)
Bill payment	308	Wallet Charging	Simple Password	간편비밀번호 일치 시 충전동작 확인 - 간편비밀번호 불일치 시 충전동작 불가 확인 			12_BillPayment	[06] Wallet 결제 - 필드 입력 → 결제내역 → **간편비밀번호 화면까지만**	0.17	12_BillPayment	[04] Biller 검색창 노출 확인 + 선택 (모바일 충전)
Bill payment	309	Wallet Charging	Biometric	생체인식 일치 시 충전동작 확인  - 생체인식 불일치 시 간편비밀번호 발생 확인 			12_BillPayment	[06] Wallet 결제 - 필드 입력 → 결제내역 → **간편비밀번호 화면까지만**	0.17	12_BillPayment	[05] Biller별 입력 필드 노출 확인 (모바일 충전 → "휴대폰 번호")
Bill payment	310	Openbanking Charging (KFTC)	OTP / Simple Password	OTP 일치 시 충전동작 확인 - OTP 불일치 시 충전불가 동작 확인  			12_BillPayment	[02] Country 검색 동작 확인 / [01] 국가 리스트 및 선택 (Nepal)	0.19	12_BillPayment	[04] Biller 검색창 노출 확인 + 선택 (모바일 충전)
Bill payment	311	Openbanking Charging (KFTC)	Biometric	생체인식 틀릴시 충전 불가 확인  - OTP 입력페이지 발생 확인 및 정상 입력 시 송금 확인 			12_BillPayment	[05] Biller별 입력 필드 노출 확인 (모바일 충전 → "휴대폰 번호")	0.15	12_BillPayment	[06] Wallet 결제 - 필드 입력 → 결제내역 → **간편비밀번호 화면까지만**
