그룹	행	2Depth	3Depth	Checklist	현재H	현재I	후보1_yaml	후보1_케이스	점수	후보2_yaml	후보2_케이스
MENU	199	Settings	Use Biometirc	생체인식 사용 시, 로그인 정상동작 확인 			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	0.26	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	200	Settings	Use Biometirc	생체인식 사용 시, 송금 정상동작 확인 			04_Menu_History	[15] History - Remittance - 국내송금 필터동작 확인	0.32	04_Menu_History	[11] History - Remittance - 국내송금 검색동작 확인
MENU	201	Settings	Use Biometirc	생체인식 미 사용 시, 로그인 정상동작 확인 			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	0.25	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	202	Settings	Use Biometirc	생체인식 미 사용 시, 송금 정상동작 확인 			04_Menu_History	[15] History - Remittance - 국내송금 필터동작 확인	0.31	04_Menu_History	[11] History - Remittance - 국내송금 검색동작 확인
MENU	203	Settings	Marketing Receive	마케팅 서비스 ON/ OFF 동작 확인 			26_Menu	[08-4] 설정 → 마케팅 수신 동의 ON/OFF 토글	0.43	04_Menu_History	[07] History - Remittance - 스케줄송금 필터 동작 확인
MENU	204	Settings	Language	언어 변경 동작 확인 - 모든 국가 언어 변경 확인 			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	0.26	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	205	Settings	Terms and Condtions	이용약관 정상 노출 확인 			26_Menu	[06] 드로어 → 이용약관 → 약관 목록 화면 이동 확인	0.33	04_01_Change_SimplePassword	[05] 4단계 - 본인 확인 방법 선택 화면 노출 확인
MENU	206	Settings	Referral Code	대부 추천인코드 입력 동작 확인			26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인	0.55	04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인
MENU	207	Settings	Delete GME Account	계정삭제 동의 진입 확인 - 동의 체크박스 미선택시 Countinue 버튼 비활성화			26_Menu	[08-1] 설정 → GME 회원 탈퇴 → 동의 체크박스 미선택 시 "계속" 비활성화	0.35	04_Menu_History	[24] History - Account - Bank Statement 조회 확인
MENU	208	Settings	Delete GME Account	계정 삭제 사유 진입 확인 - 사유 미선택시 Delete My Account 버튼 비활성화			04_Menu_History	[24] History - Account - Bank Statement 조회 확인	0.35	04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인
MENU	209	Logout	Delete GME Account	로그아웃 동작 확인 (ID/PW 입력 화면으로 이동 확인)  -Andorid : 간편비밀번호 페이지 이동 / iOS : 앱종료			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.30	04_Menu_History	[24] History - Account - Bank Statement 조회 확인
MY QR	210	Receive	Delete GME Account	Enter Amount 입력 동작 확인 	08_MyQR	[03] [구06] Amount 입력 후 QR 생성					
MY QR	211	Receive	Delete GME Account	Receiving account 계좌 변경 동작 확인 Default : Wallet 	08_MyQR	[03] [구03] Receiving account 변경					
MY QR	212	Receive	Delete GME Account	QR코드 저장동작 확인 	08_MyQR	[03]+[04] [구01] QR 저장					
MY QR	213	Receive	Delete GME Account	QR코드 공유동작 확인 	08_MyQR	[01] QR 공유 (Teams 전송)					
MY QR	214	Receive	Delete GME Account	글로벌 QR 버튼 탭 후 Back → 내 QR 복귀 / 국내 송금 탭 후 Back → 내 QR 복귀 확인	08_MyQR	[02] 글로벌QR·국내송금→Back→My QR 복귀					
MY QR	215	Receive	Delete GME Account	Amount 입력 상태 QR 송금받기 동작 확인 	08_MyQR	[03] [구06+구09] Amount QR 스캔→송금					
MY QR	216	Receive	Delete GME Account	Amount 미입력 상태 QR 송금받기 동작 확인 	08_MyQR	[04] Amount 미입력 QR 스캔→미자동입력 확인					
MY QR	217	Receive	Delete GME Account	받는계좌 변경 후 QR 송금받기 동작 확인 	08_MyQR	[03] [구03+구09] 계좌변경 QR 스캔→송금					
MY QR	218	Receive	Delete GME Account	받는 계좌 변경 + Amount 입력 조합 QR 확인	08_MyQR	[03] [구07] 계좌변경+금액입력 조합 QR					
MY QR	219	Sending	Delete GME Account	QR 스캔 시 국내송금 금액 입력 페이지 이동 확인 	08_MyQR	[03]+[04] [구09] QR 스캔→국내송금 화면					
MY QR	220	Sending	Delete GME Account	Amount 입력된 QR 스캔 시 금액 자동입력 확인 	08_MyQR	[03] [구06] amount=1원 QR 스캔 (명시 검증 없음)					
MY QR	221	Sending	Delete GME Account	Wallet 아닌 다른계좌 QR스캔 후 송금 동작 확인 	08_MyQR	[03] 케이뱅크 계좌 QR→송금 완료					
Overseas Transfer	222	Add Recipient	Send Now	수취인 추가 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.75	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	223	Add Recipient	Send Now	수취인 화면 필터 동작 확인 			02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인	0.84	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	224	Add Recipient	Send Now	기 등록된 수취인 삭제 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.51	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	225	Add Recipient	Send Now	기 등록된 수취인 정보 수정 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.50	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	226	Transfer Try_Wallet	Simple Password	간편 비밀번호 틀릴 시 송금불가 확인			02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)	0.21	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	227	Transfer Try_Wallet	Simple Password	간편 비밀번호 일치 시 송금동작 확인 			02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인	0.25	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	228	Transfer Try_Wallet	Simple Password	영수증 및 영수증 다운로드 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.31	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	229	Transfer Try_Wallet	Biometric	생체인식 틀릴 시 송금불가 확인 - Simple Password 발생 확인 및 입력 시 정상 송금 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.23	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	230	Transfer Try_Wallet	Biometric	생체인식 일치 시 송금동작 확인 			02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인	0.27	02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인
Overseas Transfer	231	Transfer Try_Wallet	Biometric	영수증 및 영수증 다운로드 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.31	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	232	Transfer Try_Openbanking (KFTC)	OTP / Simple Password	OTP 불일치 시 송금불가 확인 			02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)	0.22	02_02_Overseas_Schedule	[01] 바텀시트 및 새 수취인 추가 폼 진입 확인
Overseas Transfer	233	Transfer Try_Openbanking (KFTC)	OTP / Simple Password	OTP 일치 시 송금동작 확인 			02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인	0.28	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	234	Transfer Try_Openbanking (KFTC)	OTP / Simple Password	영수증 및 영수증 다운로드 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.31	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	235	Transfer Try_Openbanking (KFTC)	Biometric	생체인식 틀릴시 송금 불가 확인  - OTP 입력페이지 발생 확인 및 정상 입력 시 송금 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.18	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	236	Transfer Try_Openbanking (KFTC)	Biometric	생체인식 일치 시 송금동작 확인 			02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인	0.27	02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인
Overseas Transfer	237	Transfer Try_Openbanking (KFTC)	Biometric	영수증 및 영수증 다운로드 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.31	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	238	Schedule_Add Recipient	Add Recipient	스케줄 수취인 추가 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.65	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	239	Schedule_Add Recipient	Add Recipient	수취인 화면 필터 동작 확인 			02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인	0.84	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	240	Schedule_Add Recipient	Add Recipient	기 등록된 수취인 삭제 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.51	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	241	Schedule_Add Recipient	Add Recipient	기 등록된 수취인 정보 수정 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.50	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	242	Schedule_Add Recipient	Add Existing Recipient	Send Now 등록 된 수취인 목록 정상 노출 확인 			02_02_Overseas_Schedule	[03] 기존 수취인 목록 노출 확인	0.51	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	243	Schedule_Add Recipient	Add Existing Recipient	스케줄 송금 등록된 수취인 추가 시도 시 불가 동작 확인  - 중복팝업 발생 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.37	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	244	Schedule_Add Recipient	Add Existing Recipient	기존 수취인 정상 추가 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	1.00	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	245	Schedule_Wallet Monthly Set	Account	Day&Time / end Date 설정 동작 확인  - End Date : 오늘날짜 이전은 설정 불가 확인 			02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인	0.21	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	246	Schedule_Wallet Monthly Set	간편비밀번호	송금액 입력 및 스케줄송금 예약 정상 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.34	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	247	Schedule_Wallet Monthly Set	생체인식	송금액 입력 및 스케줄송금 예약 정상 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.34	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	248	Schedule_Wallet 1Time Set	Account	Date&Time 설정 동작 확인			02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인	0.39	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	249	Schedule_Wallet 1Time Set	간편비밀번호	송금액 입력 및 스케줄송금 예약 정상 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.34	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	250	Schedule_Wallet 1Time Set	생체인식	송금액 입력 및 스케줄송금 예약 정상 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.34	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	251	Schedule_Wallet 1Time Set	생체인식	송금날짜: 당일 및 지난시간 설정 시 예약설정 불가 확인 			02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인	0.24	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	252	Schedule_Openbanking(KFTC)_ Monthly Set	Account	Day&Time / end Date 설정 동작 확인  - End Date : 오늘날짜 이전은 설정 불가 확인 			02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인	0.21	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	253	Schedule_Openbanking(KFTC)_ Monthly Set	OTP / Simple Password	송금액 입력 및 스케줄송금 예약 정상 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.34	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	254	Schedule_Openbanking(KFTC)_ Monthly Set	OTP / Simple Password	OTP 불일치 시 스케줄송금 예약 불가 확인 			02_02_Overseas_Schedule	[05] 이미 예약된 수취인 추가 시 중복 팝업 확인	0.19	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	255	Schedule_Openbanking(KFTC)_ Monthly Set	생체인식	송금액 입력 및 스케줄송금 예약 정상 동작 확인  - 생체인식 불가 시 OTP 입력 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.24	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	256	Schedule_Openbanking(KFTC)_ 1Time Set	Account	Date&Time 설정 동작 확인			02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인	0.39	02_01_Overseas_Send now	[03] 실시간 송금 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	257	Schedule_Openbanking(KFTC)_ 1Time Set	OTP / Simple Password	송금액 입력 및 스케줄송금 예약 정상 동작 확인 			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.34	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Overseas Transfer	258	Schedule_Openbanking(KFTC)_ 1Time Set	OTP / Simple Password	OTP 불일치 시 스케줄송금 예약 불가 확인 			02_02_Overseas_Schedule	[05] 이미 예약된 수취인 추가 시 중복 팝업 확인	0.19	02_01_Overseas_Send now	[04] 실시간 송금 탭 - 수취인 추가 동작 확인 (Send Now)
Overseas Transfer	259	Schedule_Openbanking(KFTC)_ 1Time Set	생체인식	송금액 입력 및 스케줄송금 예약 정상 동작 확인  - 생체인식 불가 시 OTP 입력 동작 확인			02_02_Overseas_Schedule	[04] 기존 수취인 정상 추가 동작 확인	0.24	02_02_Overseas_Schedule	[06] 예약 탭 - 수취인 화면 필터(설정) 동작 확인
Domestic Transfer	260	Transfer Try_Wallet	생체인식	계좌번호 입력동작 확인  - 관련 은행 리스트 노출 확인			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.14	03_Domestic	[03] Wallet → 타인 은행계좌 송금
Domestic Transfer	261	Transfer Try_Wallet	생체인식	은행리스트 및 은행 선택 동작 확인			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.22	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	262	Transfer Try_Wallet	생체인식	송금액 입력 동작 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.32	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	263	Transfer Try_Wallet	생체인식	동일한 월렛계좌번호 입력 시 송금 불가 동작 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.39	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	264	Transfer Try_Wallet	생체인식	내월렛 > 다른월렛으로 송금 동작 확인			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.33	03_Domestic	[02] Wallet → 다른 월렛 송금
Domestic Transfer	265	Transfer Try_Wallet	생체인식	내월렛 > 내 은행계좌 송금 동작 확인			03_Domestic	[04] Wallet → 내 은행계좌 송금 (TODO)	0.35	03_Domestic	[03] Wallet → 타인 은행계좌 송금
Domestic Transfer	266	Transfer Try_Wallet	생체인식	내월렛 > 타인 은행계좌 송금 동작 확인			03_Domestic	[03] Wallet → 타인 은행계좌 송금	0.48	03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인
Domestic Transfer	267	Transfer Try_Wallet	Simple Password	간편 비밀번호 틀릴 시 송금불가 확인			03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인	0.28	03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인
Domestic Transfer	268	Transfer Try_Wallet	Simple Password	간편 비밀번호 일치 시 송금동작 확인 			03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인	0.23	03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인
